lat,lon
40.769,-73.9549
40.7267,-74.0345
40.7316,-73.9873
40.7588,-73.9776
40.7594,-73.9722
40.7383,-74.0403
40.7223,-73.9887
40.762,-73.979
40.7524,-73.99600000000001
40.7575,-73.9846
40.7256,-73.9869
40.7591,-73.9684
40.7271,-73.9803
40.6463,-73.7896
40.7564,-73.9167
40.7666,-73.9531
40.758,-73.9761
40.7238,-73.9821
40.7531,-74.0039
40.7389,-74.0393
40.7619,-73.9715
40.753,-74.0042
40.6561,-73.9531
40.725,-73.9844
40.695,-74.1783
40.9859,-74.1578
40.6879,-74.1814
40.6878,-74.1816
40.7234,-73.9974
40.7336,-73.99
40.7141,-74.0094
40.7893,-73.9709
40.7747,-73.991
40.7689,-73.9876
40.7744,-74.0149
40.7393,-73.9974
40.7776,-73.9752
40.6483,-73.7829
40.6907,-74.1782
40.7217,-73.9875
40.7651,-73.9632
40.7437,-73.9985
40.7605,-73.97800000000001
40.743,-74.0301
40.743,-74.0301
40.7423,-74.0371
40.7236,-74.0037
40.7723,-73.9527
40.7574,-73.9862
40.7838,-73.9504
40.7711,-73.9871
40.7571,-73.9726
40.7442,-73.9854
40.7166,-74.0144
40.7507,-73.9703
40.7337,-73.9979
40.7236,-74.0111
40.7151,-74.0464
40.7701,-73.9588
40.86,-73.9142
40.7555,-73.9729
40.7249,-74.0355
40.6193,-74.157
40.7753,-73.97800000000001
40.7204,-73.9545
40.7772,-73.9595
40.7651,-74.082
40.74,-73.9879
40.7741,-73.9568
40.7599,-73.9944
40.7531,-74.0039
40.7791,-73.9623
40.7382,-74.0033
40.7391,-73.9989
40.7806,-73.982
40.7322,-73.9863
40.7703,-73.96600000000001
40.7221,-74.0018
40.7588,-73.9895
40.7677,-73.9656
40.7404,-74.0076
40.7679,-73.9599
40.7694,-73.9852
40.7858,-73.9546
40.7742,-73.9491
40.7703,-73.95
40.7614,-73.9997
40.793,-73.9749
40.7231,-73.9442
40.7874,-73.9545
40.7689,-73.9812
40.7789,-73.9557
40.7271,-74.0054
40.7877,-73.973
40.7255,-74.0092
40.7653,-73.9723
40.7644,-73.9769
40.7726,-73.9532
40.7898,-73.9661
40.7839,-73.9703
40.7236,-74.0016
40.699,-73.9951
40.7581,-73.9219
40.768,-73.9191
40.7677,-73.9897
40.771,-73.866
40.7808,-73.9487
40.7147,-74.0362
40.7732,-73.9504
40.7335,-74.0043
40.7754,-73.9782
40.7752,-73.9455
40.7243,-74.0021
40.7786,-73.9512
40.7877,-73.9788
40.8674,-73.8822
40.7678,-73.9704
40.7749,-73.9587
40.7209,-73.9813
40.756,-73.9752
40.7923,-73.9676
40.739000000000004,-73.9991
40.7273,-73.9797
40.7751,-73.9475
40.7406,-73.9983
40.8364,-74.1461
40.7452,-73.991
40.7805,-73.9481
40.7805,-73.9481
40.7814,-73.9513
40.7864,-73.9699
40.783,-73.9559
40.7582,-73.9928
40.7216,-74.0046
40.7298,-73.9988
40.7746,-73.956
40.7208,-73.994
40.7669,-73.9617
40.7084,-74.0064
40.7425,-73.9942
40.7424,-73.9838
40.7724,-73.955
40.7787,-73.9559
40.7752,-73.9637
40.7754,-73.95
40.7368,-74.0044
40.7174,-73.9924
40.7305,-73.9934
40.7747,-73.9613
40.7229,-73.994
40.7396,-73.98100000000001
40.725,-73.9994
40.695,-74.1774
40.719,-74.0064
40.8271,-73.9726
40.7793,-73.9495
40.7266,-73.9801
40.6922,-74.1811
40.7418,-74.0074
40.7108,-73.9845
40.7857,-73.9802
40.7757,-73.9502
40.7514,-73.9699
40.7343,-73.9936
40.734,-74.0094
40.718,-74.0099
40.7287,-73.9805
40.758,-73.9707
40.692,-74.1813
40.778,-73.9487
40.7658,-73.9692
40.7222,-74.0104
40.7329,-73.9881
40.7659,-73.9766
40.7789,-73.9618
40.789,-73.9743
40.7617,-73.9843
40.7214,-73.9475
40.7595,-73.9913
40.7931,-73.9748
40.7371,-74.0004
40.7345,-73.99600000000001
40.7747,-73.9912
40.8822,-73.9211
40.762,-73.9787
40.762,-73.9787
40.7326,-74.0038
40.7555,-73.9737
40.7596,-73.9854
40.6904,-74.1778
40.6904,-74.1778
40.7408,-73.9914
40.6819,-73.9358
40.7624,-73.9714
40.7805,-73.9548
40.7889,-73.9542
40.7835,-73.9513
40.7651,-73.9617
40.7261,-73.9918
40.7303,-73.9937
40.8736,-74.0628
40.724000000000004,-73.9981
