lat,lon
40.747577,-73.990733
40.73437,-73.99094
40.773287,-73.95766
40.72604,-73.989547
40.767507,-73.966557
40.773932,-73.964005
40.80176,-73.967815
40.738522,-73.985215
40.768702,-73.955405
40.781045,-73.98151
40.767522,-73.96628
40.74068,-73.994553
40.755807,-73.990905
40.76427,-73.958802
40.75047,-73.991037
40.74971,-73.983795
40.740882,-73.997942
40.741882,-73.993667
40.747337,-74.00115
40.78403,-73.973982
40.77024,-73.954132
40.742387,-73.977537
40.748737,-73.98446
40.762595,-73.986022
40.758572,-73.98862
40.77212,-73.983242
40.77342,-73.962177
40.766265,-73.954085
40.750597,-73.991125
40.749017,-73.975882
40.780057,-73.9568
40.748367,-73.992673
40.738477,-73.999967
40.762227,-73.99349
40.745202,-73.993692
40.748052,-73.989293
40.76117,-73.96903
40.748902,-73.980137
40.761652,-73.960352
40.780047,-73.980562
40.706787,-74.006032
40.748937,-73.9926
40.767522,-73.963567
40.75205,-73.970912
40.767317,-73.96848
40.766842,-73.956675
40.79758,-73.96024
40.774082,-73.954647
40.782972,-73.955207
40.792132,-73.967695
40.750087,-73.977035
40.761757,-73.968102
40.755262,-73.991877
40.754252,-73.999485
40.726735,-73.983007
40.742537,-73.993092
40.780952,-73.981337
40.752785,-73.992792
40.750147,-73.981327
40.76893,-73.987778
40.733355,-73.981088
40.784605,-73.950842
40.749525,-73.992075
40.755122,-73.983095
40.757942,-73.991998
40.772592,-73.952912
40.756277,-73.990297
40.715022,-74.01625
40.773257,-73.981825
40.755865,-73.997367
40.759797,-73.98371
40.725282,-73.99681
40.764815,-73.964615
40.75125,-73.982392
40.73988,-74.00239
40.76878,-73.988855
40.749452,-73.979262
40.780072,-73.984275
40.769957,-73.984205
40.771535,-73.959447
40.779807,-73.955855
40.738297,-73.98344
40.764017,-73.969525
40.75688,-73.986743
40.757437,-73.969487
40.780072,-73.959292
40.759172,-73.976265
40.750445,-73.995012
40.701247,-74.010847
40.771915,-73.990455
40.77206,-73.95917
40.7679,-73.981077
40.72363,-73.985215
40.782207,-73.945688
40.788067,-73.970852
40.740732,-73.987757
40.722107,-74.005278
40.751812,-73.980065
40.743122,-73.979987
40.751647,-73.976112
40.756017,-73.991025
40.750992,-73.982563
40.713592,-73.961842
40.771465,-73.959408
40.778847,-73.981802
40.743265,-74.000017
