infered_area_id,total_ubertaxi_rides,total_yellowtaxi_rides,infered_area_geometry,market_potential
339,29,115,"POLYGON ((-73.989752 40.758317, -73.9901 40.7583, -73.9915 40.75611, -73.991547 40.756007, -73.99142500000001 40.75579, -73.9909 40.7552, -73.99040600000001 40.755379, -73.9902 40.7555, -73.988895 40.756283, -73.988395 40.756732, -73.9888 40.7577, -73.989752 40.758317))",0.7986111111111112
255,12,38,"POLYGON ((-73.9598 40.7719, -73.95996 40.77039, -73.959715 40.770397, -73.95885 40.770707, -73.95829000000001 40.772175, -73.958495 40.772377, -73.95868 40.77253, -73.959058 40.772375, -73.95962900000001 40.772026, -73.9598 40.7719))",0.76
290,17,53,"POLYGON ((-73.980492 40.77506, -73.982095 40.774775, -73.982563 40.774435, -73.98325 40.773532, -73.982517 40.772572, -73.98245899999999 40.772533, -73.982383 40.772527, -73.9816 40.772762, -73.98095699999999 40.773517, -73.9806 40.774, -73.980492 40.77506))",0.7571428571428571
297,16,46,"POLYGON ((-73.977622 40.746181, -73.98008900000001 40.746721, -73.98009999999999 40.7466, -73.98012900000001 40.743176, -73.980097 40.743076, -73.9798 40.7429, -73.97959 40.743045, -73.977898 40.744967, -73.97766800000001 40.745545, -73.977622 40.746181))",0.7419354838709677
154,14,35,"POLYGON ((-73.982 40.7344, -73.98297600000001 40.73162, -73.9829 40.7309, -73.98253699999999 40.730794, -73.98220000000001 40.7311, -73.979238 40.734789, -73.9796 40.735, -73.982 40.7344))",0.7142857142857143
