h3_id,total_ubertaxi_rides,total_yellowtaxi_rides,market_potential
892a100d607ffff,153,123,6.15
892a100d2c3ffff,42,145,0.7754010695187166
892a100d45bffff,18,50,0.7352941176470589
892a1008bbbffff,14,37,0.7254901960784313
892a1008983ffff,11,26,0.7027027027027027
