zip_code_id,total_ubertaxi_rides,total_yellowtaxi_rides,zip_code_geometry,market_potential
zip_code_64,10,26,"MULTIPOLYGON (((-73.99767999999999 40.75148499999981, -73.99724999999998 40.75208299999981, -73.99678999999998 40.75272299999982, -73.99394799999999 40.75152199999982, -73.99432899999998 40.75099899999983, -73.99484399999997 40.75029299999983, -73.99767999999999 40.75148499999981)), ((-73.99859399999998 40.75024099999981, -74.00142999999997 40.75144499999983, -74.00094299999998 40.75210499999981, -73.99972299999999 40.75165399999982, -73.99811999999999 40.75090299999982, -73.99859399999998 40.75024099999981)))",0.7222222222222222
zip_code_48,52,117,"MULTIPOLYGON (((-73.99484399999997 40.75029299999983, -73.99432899999998 40.75099899999983, -73.99394799999999 40.75152199999982, -73.99110999999998 40.75031899999982, -73.99156299999999 40.74970599999983, -73.99200599999999 40.74910099999983, -73.99484399999997 40.75029299999983)))",0.6923076923076923
zip_code_27,34,66,"MULTIPOLYGON (((-73.94484799999996 40.79998599999983, -73.94323799999998 40.79930899999983, -73.94161899999999 40.79862399999981, -73.94002099999999 40.79794699999983, -73.93827399999996 40.79721199999982, -73.93777399999998 40.79700199999982, -73.93771599999998 40.79697699999982, -73.93540799999997 40.79600399999983, -73.93534099999998 40.79609499999984, -73.93491299999998 40.79667999999982, -73.93265999999998 40.79573199999981, -73.933031 40.79522599999982, -73.93315699999998 40.79505499999983, -73.93134599999999 40.79428499999982, -73.93114999999999 40.79414099999982, -73.93089099999999 40.79404099999982, -73.93274899999999 40.79307199999982, -73.93486399999998 40.79158799999982, -73.93549599999997 40.79111499999983, -73.93597699999997 40.79049499999984, -73.93642399999999 40.78982299999983, -73.93681999999998 40.78918999999983, -73.93723899999998 40.78841399999982, -73.93759799999998 40.78761499999981, -73.93834099999998 40.78659899999982, -73.93901499999998 40.78575199999982, -73.939617 40.78522099999983, -73.94037899999998 40.78474299999981, -73.94133699999998 40.78428299999982, -73.94294099999998 40.78300699999982, -73.94313599999998 40.78261399999981, -73.94315399999998 40.78253099999982, -73.94362199999998 40.78272399999982, -73.94382299999998 40.78279899999983, -73.94395899999998 40.78290699999982, -73.94402299999997 40.78295999999983, -73.94472299999997 40.78324699999982, -73.94422299999998 40.78393299999983, -73.94658799999996 40.78494099999983, -73.94882699999998 40.78588099999983, -73.95043399999999 40.78653999999982, -73.95065899999999 40.78623199999982, -73.95092699999998 40.78586599999983, -73.95255099999999 40.78654899999982, -73.95416299999997 40.78722699999983, -73.955778 40.78791399999984, -73.95552799999999 40.78824499999983, -73.95527499999999 40.78858399999982, -73.95481699999998 40.78920499999982, -73.95388899999998 40.79047099999983, -73.95343799999996 40.79108499999982, -73.95298399999999 40.79172199999983, -73.95252199999999 40.79234699999982, -73.95207299999998 40.7929669999998, -73.95160199999998 40.79360799999982, -73.95111099999998 40.79428499999982, -73.95061299999996 40.79496499999983, -73.95015799999999 40.79558799999982, -73.94969499999998 40.79621699999983, -73.94940499999997 40.79663099999982, -73.94921999999998 40.79690999999983, -73.94909699999998 40.79705699999982, -73.94879199999998 40.79747799999983, -73.94831099999998 40.79812899999982, -73.94781599999999 40.79880499999982, -73.94773499999998 40.79891399999983, -73.94739999999999 40.79937399999983, -73.94729499999998 40.79951799999984, -73.94697399999998 40.79996099999982, -73.94646199999998 40.80066499999982, -73.94484799999996 40.79998599999983)))",0.66
zip_code_23,129,216,"MULTIPOLYGON (((-73.96200799999997 40.80550899999983, -73.96154799999998 40.80613599999982, -73.95982599999998 40.80543499999982, -73.95935699999998 40.80612099999982, -73.95840699999998 40.80741899999983, -73.95794899999999 40.80805299999983, -73.95761699999998 40.80867099999983, -73.95724499999999 40.80940399999983, -73.95709099999998 40.81007999999982, -73.95827199999998 40.81062899999981, -73.95780799999999 40.81126399999983, -73.95680099999998 40.81083899999981, -73.95496599999998 40.81006399999982, -73.95542999999996 40.80942899999983, -73.95588399999998 40.80880199999982, -73.95634399999999 40.80817399999983, -73.95680599999997 40.80754599999982, -73.95726599999998 40.80691599999983, -73.95772199999998 40.80629099999983, -73.95818199999998 40.80559699999983, -73.95825399999998 40.80471399999982, -73.95820399999999 40.80389399999983, -73.958249 40.80310699999983, -73.95868799999998 40.80246999999983, -73.95914699999999 40.80184399999983, -73.95964699999998 40.80115599999982, -73.960065 40.80058599999981, -73.95935799999998 40.80028799999981, -73.95861899999998 40.79997699999983, -73.95907699999998 40.79935199999984, -73.95953699999997 40.79871899999981, -73.96003699999999 40.79803799999983, -73.96052299999998 40.79736899999983, -73.96097899999998 40.79673799999983, -73.96143999999998 40.79611099999982, -73.96189899999999 40.79547999999981, -73.96235899999998 40.79485199999983, -73.96283399999999 40.79420299999983, -73.96371099999999 40.79301299999982, -73.96380399999998 40.79288099999982, -73.96417599999997 40.79236199999983, -73.96468499999999 40.79166399999981, -73.96517699999997 40.79099099999983, -73.96563199999999 40.79036499999983, -73.96609399999998 40.78973399999982, -73.96655199999998 40.78910799999983, -73.96700999999999 40.78847599999983, -73.96764699999999 40.78874399999981, -73.96984999999998 40.78967399999981, -73.96963099999998 40.78996899999982, -73.97074999999998 40.79040299999981, -73.97216199999998 40.79106199999983, -73.97250799999998 40.79079299999981, -73.97268999999999 40.79086999999981, -73.97278899999998 40.79091099999983, -73.97410999999998 40.79146899999984, -73.97545099999998 40.79203499999983, -73.97553099999999 40.79206899999983, -73.97565599999999 40.79212099999983, -73.977092 40.79272399999984, -73.97688099999999 40.7929679999998, -73.97684799999998 40.79300699999981, -73.97696799999999 40.79345299999984, -73.97697999999998 40.79365999999983, -73.97696799999999 40.79386299999982, -73.97693899999999 40.79404999999982, -73.97688899999999 40.79423699999982, -73.97681999999998 40.79442099999981, -73.97674899999998 40.79456999999983, -73.97664599999997 40.79474599999983, -73.97654199999998 40.79489299999982, -73.97650199999998 40.79493899999982, -73.97640799999998 40.79505299999983, -73.97625199999999 40.79521099999981, -73.97607399999998 40.79536299999983, -73.97589899999998 40.79548999999983, -73.97583599999999 40.79553199999982, -73.97503099999999 40.79601899999982, -73.97417499999997 40.79655699999984, -73.97409999999999 40.79711399999983, -73.97412999999997 40.79734099999981, -73.97414999999999 40.79748399999983, -73.97414099999999 40.79765399999983, -73.97411599999998 40.79781699999982, -73.97407299999998 40.79798599999982, -73.97400999999998 40.79816099999982, -73.973927 40.79833099999981, -73.97384799999998 40.79846599999983, -73.97372399999998 40.79863799999983, -73.97358799999998 40.79879399999983, -73.97339999999998 40.79904199999983, -73.97321999999998 40.79925699999982, -73.97300899999998 40.79948499999983, -73.97276899999999 40.79971899999982, -73.972543 40.79991799999983, -73.97233599999998 40.80008699999983, -73.97213699999999 40.80023799999982, -73.97188199999997 40.80041499999983, -73.97174399999999 40.80050499999983, -73.97162099999998 40.80059599999984, -73.97149499999996 40.80070699999982, -73.97138999999999 40.80081799999983, -73.97128699999998 40.80095199999982, -73.97122399999998 40.80105399999983, -73.97027299999998 40.80235999999982, -73.96933699999997 40.80365199999982, -73.968559 40.80485299999984, -73.96811999999998 40.80569299999984, -73.96797899999999 40.80598799999983, -73.96739599999998 40.80698899999983, -73.96697899999998 40.80759599999982, -73.96651799999997 40.80822599999983, -73.96589999999998 40.80880599999983, -73.96573399999997 40.80874899999983, -73.96496099999999 40.80848199999983, -73.96390299999999 40.80800399999982, -73.96405399999998 40.80779599999981, -73.96438999999998 40.80733799999982, -73.96484799999999 40.8067069999998, -73.96200799999997 40.80550899999983), (-73.96200799999997 40.80550899999983, -73.96247499999998 40.80488599999983, -73.96031899999997 40.80399199999984, -73.96007399999998 40.8047059999998, -73.96200799999997 40.80550899999983)))",0.6260869565217392
zip_code_58,16,26,"MULTIPOLYGON (((-73.97710699999999 40.75188299999981, -73.97570199999997 40.75381099999982, -73.97464799999997 40.75336699999983, -73.97510199999999 40.75274099999982, -73.97555799999998 40.75211599999982, -73.97604799999996 40.75144099999982, -73.97710699999999 40.75188299999981)))",0.6190476190476191
