infered_area_id,total_ubertaxi_rides,total_yellowtaxi_rides,infered_area_geometry,market_potential
25,69,47,"POLYGON ((-73.862675 40.769618, -73.86360000000001 40.7692, -73.863265 40.768857, -73.8629 40.7686, -73.8626 40.7684, -73.86199999999999 40.7681, -73.8618 40.7683, -73.862675 40.769618))",0.4051724137931034
26,65,43,"POLYGON ((-73.86716 40.770788, -73.8643 40.7698, -73.863084 40.769682, -73.863029 40.769699, -73.86314 40.770187, -73.864634 40.771127, -73.864788 40.771165, -73.86610999999999 40.771427, -73.86636 40.771307, -73.8669 40.771, -73.86716 40.770788))",0.39814814814814814
27,33,7,"POLYGON ((-73.94759999999999 40.7451, -73.95610000000001 40.7485, -73.9569 40.7484, -73.95959999999999 40.7399, -73.9511 40.7429, -73.94759999999999 40.7451))",0.175
28,24,16,"POLYGON ((-73.94199999999999 40.7594, -73.9479 40.752, -73.9442 40.7467, -73.94159999999999 40.7462, -73.9363 40.7495, -73.93459799999999 40.751205, -73.9332 40.7528, -73.93555000000001 40.75608, -73.937715 40.758277, -73.94199999999999 40.7594))",0.4
29,44,18,"POLYGON ((-73.9089 40.7436, -73.9083 40.7689, -73.913802 40.773552, -73.91719999999999 40.7735, -73.9272 40.7728, -73.93380000000001 40.7684, -73.93389999999999 40.7682, -73.9303 40.7575, -73.92750699999999 40.752668, -73.9271 40.7521, -73.9089 40.7436))",0.2903225806451613
30,20,10,"POLYGON ((-73.917085 40.746542, -73.9205 40.7482, -73.9293 40.7469, -73.93600000000001 40.7451, -73.9354 40.743, -73.9252 40.7395, -73.9199 40.7394, -73.91825300000001 40.743102, -73.917085 40.746542))",0.3333333333333333
31,11,4,"POLYGON ((-73.949742 40.827352, -73.9421 40.8228, -73.939865 40.82451500000001, -73.9387 40.8262, -73.9375 40.8291, -73.9448 40.83, -73.947562 40.83013, -73.948527 40.829262, -73.949742 40.827352))",0.26666666666666666
32,11,4,"POLYGON ((-73.937894 40.843802, -73.945178 40.842119, -73.94252 40.83737199999999, -73.93989999999999 40.8396, -73.937894 40.843802))",0.26666666666666666
33,25,3,"POLYGON ((-73.93689999999999 40.8548, -73.9414 40.8511, -73.94119999999999 40.8486, -73.9401 40.8464, -73.93859999999999 40.846, -73.9384 40.8463, -73.93640000000001 40.8496, -73.9335 40.8544, -73.93689999999999 40.8548))",0.10714285714285714
34,14,1,"POLYGON ((-73.929 40.6757, -73.92910000000001 40.6785, -73.930302 40.681061, -73.9333 40.6823, -73.9355 40.6828, -73.93899999999999 40.6831, -73.9318 40.6759, -73.929 40.6757))",0.06666666666666667
35,7,10,"POLYGON ((-73.941722 40.798467, -73.93429999999999 40.7938, -73.93470000000001 40.797, -73.9355 40.8003, -73.94130200000001 40.799166, -73.941722 40.798467))",0.5882352941176471
36,25,0,"POLYGON ((-74.0117 40.6727, -74.0065 40.6786, -74.0106 40.6803, -74.0175 40.6775, -74.0176 40.6766, -74.01690000000001 40.6734, -74.0117 40.6727))",0.0
37,8,8,"POLYGON ((-73.95654399999999 40.817552, -73.9543 40.8161, -73.9507 40.8183, -73.9512 40.8203, -73.9528 40.8249, -73.9543 40.8247, -73.95489999999999 40.8235, -73.95654399999999 40.817552))",0.5
38,19,11,"POLYGON ((-73.9413 40.8093, -73.94883 40.808499, -73.94029999999999 40.803, -73.93899999999999 40.8022, -73.93754799999999 40.804452, -73.94119999999999 40.8093, -73.9413 40.8093))",0.36666666666666664
39,7,11,"POLYGON ((-74.0035 40.7594, -74.002466 40.760461, -74.0026 40.7606, -74.00274899999999 40.760648, -74.00293000000001 40.7605, -74.0035 40.7594))",0.6111111111111112
40,16,1,"POLYGON ((-73.932 40.7031, -73.9312 40.7065, -73.9357 40.7066, -73.93939499999999 40.705177, -73.9388 40.7043, -73.9333 40.703, -73.932 40.7031))",0.058823529411764705
41,17,1,"POLYGON ((-73.93980000000001 40.6916, -73.9425 40.6962, -73.9466 40.6967, -73.94973299999999 40.695335, -73.9517 40.6943, -73.9504 40.69300000000001, -73.9443 40.6914, -73.94 40.6904, -73.93980000000001 40.6916))",0.05555555555555555
42,32,4,"POLYGON ((-73.92870000000001 40.7048, -73.9397 40.6957, -73.9324 40.6943, -73.9293 40.6943, -73.9199 40.7002, -73.9221 40.7025, -73.9256 40.7038, -73.92870000000001 40.7048))",0.1111111111111111
43,25,0,"POLYGON ((-73.9524 40.7354, -73.9532 40.7382, -73.9585 40.735, -73.9592 40.7326, -73.9593 40.7312, -73.95910000000001 40.7287, -73.959 40.7285, -73.9576 40.7299, -73.9524 40.7354))",0.0
44,41,4,"POLYGON ((-73.95529999999999 40.7301, -73.95229999999999 40.7233, -73.9494 40.7218, -73.94750000000001 40.7214, -73.9455 40.7214, -73.9455 40.7274, -73.94589999999999 40.7285, -73.9495 40.7306, -73.94970000000001 40.7306, -73.9543 40.7305, -73.95529999999999 40.7301))",0.08888888888888889
45,70,11,"POLYGON ((-73.99079999999999 40.7025, -73.9898 40.6997, -73.98846999999999 40.698103, -73.9829 40.7014, -73.9819 40.7022, -73.9811 40.7029, -73.9846 40.7041, -73.98650000000001 40.7044, -73.9906 40.7038, -73.9907 40.7035, -73.99079999999999 40.7025))",0.13580246913580246
46,70,5,"POLYGON ((-73.95650000000001 40.6804, -73.95350000000001 40.6904, -73.9551 40.6992, -73.95569999999999 40.6992, -73.9577 40.699, -73.9609 40.6976, -73.96639999999999 40.6854, -73.96680000000001 40.6833, -73.96339999999999 40.6812, -73.95650000000001 40.6804))",0.06666666666666667
47,21,2,"POLYGON ((-73.9502 40.6804, -73.9474 40.6864, -73.9485 40.6872, -73.9516 40.6883, -73.95486 40.688117, -73.9558 40.6879, -73.95350000000001 40.6813, -73.9524 40.6805, -73.9502 40.6804))",0.08695652173913043
48,42,12,"POLYGON ((-73.9405 40.7112, -73.9397 40.713, -73.9442 40.7153, -73.9455 40.7158, -73.949352 40.714137, -73.9526 40.7124, -73.9522 40.7098, -73.95208199999999 40.709545, -73.95059999999999 40.7075, -73.95050000000001 40.7074, -73.9487 40.7068, -73.9465 40.7077, -73.9405 40.7112))",0.2222222222222222
49,224,35,"POLYGON ((-73.94889999999999 40.7174, -73.9503 40.7194, -73.9576 40.7221, -73.95784499999999 40.72208, -73.96339999999999 40.7204, -73.9641 40.7197, -73.9666 40.7153, -73.96810000000001 40.712, -73.9688 40.7101, -73.9684 40.7077, -73.968 40.7076, -73.95495200000001 40.707316, -73.9541 40.7079, -73.94889999999999 40.7174))",0.13513513513513514
50,22,0,"POLYGON ((-73.9689 40.6804, -73.9693 40.6787, -73.9692 40.6768, -73.9679 40.6753, -73.9635 40.6765, -73.9623 40.6782, -73.96250000000001 40.6791, -73.9689 40.6804))",0.0
51,19,1,"POLYGON ((-73.95399999999999 40.6703, -73.96259999999999 40.6745, -73.9688 40.6736, -73.97029999999999 40.6729, -73.96420000000001 40.6708, -73.9562 40.67, -73.95399999999999 40.6703))",0.05
52,12,16,"POLYGON ((-73.9619 40.7979, -73.96024 40.79758, -73.954425 40.8031, -73.954418 40.803149, -73.95440000000001 40.804, -73.9545 40.805, -73.956965 40.805179, -73.95829999999999 40.8051, -73.9619 40.7979))",0.5714285714285714
53,17,5,"POLYGON ((-73.996032 40.680077, -73.991 40.6829, -73.9911 40.683, -73.99420000000001 40.685, -73.9958 40.6849, -73.9984 40.6839, -73.99855100000001 40.681683, -73.9986 40.6807, -73.9978 40.6796, -73.996032 40.680077))",0.22727272727272727
54,16,3,"POLYGON ((-73.99169999999999 40.6706, -73.9905 40.6683, -73.98990000000001 40.6687, -73.9866 40.6719, -73.9862 40.6733, -73.99039999999999 40.6721, -73.99169999999999 40.6706))",0.15789473684210525
55,13,4,"POLYGON ((-73.97620000000001 40.7303, -73.97473000000001 40.729677, -73.97399999999998 40.7308, -73.973887 40.731175, -73.9753 40.7314, -73.97539999999999 40.7314, -73.9757 40.7311, -73.97620000000001 40.7303))",0.23529411764705882
56,146,3,"POLYGON ((-73.98669200000001 40.711619, -73.9867 40.711, -73.986 40.7106, -73.9849 40.7101, -73.9847 40.7101, -73.98269999999999 40.7106, -73.98480000000001 40.7118, -73.9849 40.7118, -73.98669200000001 40.711619))",0.020134228187919462
57,18,5,"POLYGON ((-73.9884 40.6677, -73.9872 40.6663, -73.9824 40.6738, -73.9843 40.6741, -73.9884 40.6677))",0.21739130434782608
58,162,28,"POLYGON ((-73.99826299999999 40.696057, -73.9973 40.6872, -73.99611999999999 40.686718, -73.9851 40.6838, -73.9825 40.6861, -73.9825 40.6935, -73.9832 40.6968, -73.9936 40.7006, -73.9949 40.7002, -73.99826299999999 40.696057))",0.14736842105263157
