h3_id,total_ubertaxi_rides,total_yellowtaxi_rides,market_potential
882a100889fffff,30.0,70.0,0.7
882a100d45fffff,78.0,141.0,0.6438356164383562
882a10088bfffff,24.0,42.0,0.6363636363636364
882a10089dfffff,11.0,19.0,0.6333333333333333
882a100881fffff,30.0,49.0,0.620253164556962
