housing_id,total_ubertaxi_rides,total_yellowtaxi_rides,housing_geometry,market_potential
housing_993,21,47,"MULTIPOLYGON (((-73.95310243442158 40.75989926747979, -73.95340262009061 40.75968856806031, -73.95332465066312 40.75975423213116, -73.95339284184843 40.75980502980903, -73.95312594948838 40.7600610259403, -73.95299214659019 40.75997830708974, -73.95310243442158 40.75989926747979)), ((-73.95187743411111 40.76125326778796, -73.95188041587406 40.76124962805952, -73.95187810709525 40.7612538505861, -73.95187776209231 40.76125444466134, -73.95187743411111 40.76125326778796)), ((-73.95741343616507 40.76587626849863, -73.95516143538597 40.76492626839178, -73.95470243527689 40.76555326853066, -73.9525794345423 40.76465526842925, -73.95245243449915 40.76461526842584, -73.95231016212541 40.7645635683682, -73.95231106626214 40.76456255702666, -73.95336703435298 40.76337643906306, -73.95441969576866 40.76219237283371, -73.95557408134393 40.7611765938737, -73.95587365876153 40.76091297969688, -73.95631061182837 40.76051663554515, -73.95633462517085 40.76049485304706, -73.95633533660532 40.76049420269337, -73.95645543553468 40.76054326748824, -73.95652043555771 40.76057726749259, -73.95692643569826 40.76075126751262, -73.95788943603296 40.76118326756337, -73.95744243592688 40.76179726769914, -73.95969643670672 40.76274826780626, -73.95924143659894 40.76337426794495, -73.9587824364897 40.76399826808313, -73.9583224363804 40.76462526822202, -73.95787043627351 40.76525026836023, -73.95746543617734 40.76580326848279, -73.95741343616507 40.76587626849863)))",0.6911764705882353
housing_67,27,56,"MULTIPOLYGON (((-73.95166043530115 40.78201627185928, -73.95212343541182 40.78139527172138, -73.95257643551849 40.7807612715815, -73.95303443562716 40.78013427144275, -73.95349343573605 40.77950427130345, -73.95367443577889 40.77925527124838, -73.95398543585272 40.77883027115434, -73.95558643640666 40.77950427123003, -73.95720343696625 40.78018727130683, -73.95670943684904 40.78086427145671, -73.95625443674128 40.78149027159515, -73.95579443663196 40.78211827173417, -73.95533743652362 40.78274527187287, -73.95487843641462 40.78337127201148, -73.95326143585508 40.78269027193492, -73.95166043530115 40.78201627185928)))",0.6746987951807228
housing_77,32,66,"MULTIPOLYGON (((-73.96475643840779 40.76406626788692, -73.96521543851681 40.76344026774833, -73.96567143862482 40.7628132676096, -73.96586343867031 40.76254926755117, -73.96612943873369 40.76218826747115, -73.96658443884135 40.76156026733234, -73.96818843939609 40.76223526740811, -73.96980243995478 40.76292226748591, -73.96933843984458 40.76355526762629, -73.96889043973832 40.76416926776214, -73.96843243962975 40.76479626790092, -73.9679754395213 40.76542126803916, -73.96636043896247 40.76474026796247, -73.96475643840779 40.76406626788692)))",0.6734693877551021
housing_64,35,69,"MULTIPOLYGON (((-73.9787294433915 40.77242526903271, -73.97919444350191 40.77179026889218, -73.979653443611 40.77116426875335, -73.98011344372023 40.77053726861448, -73.98056544382713 40.76991326847666, -73.98214844437486 40.77058226855187, -73.98346944483232 40.77114426861569, -73.98623944579028 40.77230726874588, -73.98579344568421 40.77291226887997, -73.98533344557471 40.77353926901885, -73.9848804454676 40.7741632691567, -73.98441344535776 40.77481626930097, -73.98222344459927 40.77388126919502, -73.98157444437493 40.77361026916471, -73.9787294433915 40.77242526903271)))",0.6634615384615384
housing_979,113,220,"MULTIPOLYGON (((-73.98778144491646 40.74978026428245, -73.9879744449612 40.7494992642204, -73.98827144503547 40.74915626414294, -73.98871544513926 40.74852126400301, -73.98916744524648 40.74790326386616, -73.98961844535344 40.74728526372935, -73.99246444633724 40.74847726386299, -73.99530044731848 40.74967926399876, -73.99484544721054 40.75030126413645, -73.99433044708856 40.75100726429272, -73.9939494469982 40.75153026440861, -73.99346544688382 40.75219826455623, -73.99062444590112 40.75100026442132, -73.98793844497177 40.74986326429314, -73.98778144491646 40.74978026428245)))",0.6606606606606606
