h3_id,total_ubertaxi_rides,total_yellowtaxi_rides,market_potential
872a10088ffffff,202.0,297.0,0.5951903807615231
872a10089ffffff,937.0,991.0,0.5140041493775933
872a1008bffffff,474.0,519.0,0.5226586102719033
872a1008cffffff,44.0,60.0,0.5769230769230769
872a1008dffffff,69.0,76.0,0.5241379310344828
872a100a1ffffff,4.0,1.0,0.2
872a100aaffffff,25.0,9.0,0.2647058823529412
872a100abffffff,20.0,7.0,0.25925925925925924
872a100aeffffff,29.0,6.0,0.17142857142857143
872a100c8ffffff,6.0,0.0,0.0
872a100caffffff,3.0,0.0,0.0
872a100cbffffff,2.0,0.0,0.0
872a100ceffffff,1.0,0.0,0.0
872a100d0ffffff,48.0,24.0,0.3333333333333333
872a100d1ffffff,109.0,7.0,0.0603448275862069
872a100d2ffffff,2268.0,2067.0,0.47681660899653977
872a100d3ffffff,445.0,189.0,0.2981072555205047
872a100d4ffffff,122.0,190.0,0.6089743589743589
872a100d6ffffff,3016.0,2510.0,0.45421643141512846
872a100d8ffffff,83.0,5.0,0.056818181818181816
872a100d9ffffff,19.0,0.0,0.0
872a100daffffff,245.0,39.0,0.13732394366197184
872a100dbffffff,56.0,5.0,0.08196721311475409
872a100dcffffff,56.0,7.0,0.1111111111111111
872a100ddffffff,22.0,0.0,0.0
872a100deffffff,171.0,43.0,0.20093457943925233
872a100f2ffffff,4.0,2.0,0.3333333333333333
872a10721ffffff,563.0,260.0,0.3159173754556501
872a10725ffffff,547.0,538.0,0.49585253456221196
872a10728ffffff,540.0,303.0,0.3594306049822064
872a10729ffffff,159.0,31.0,0.1631578947368421
872a1072cffffff,2173.0,1024.0,0.3203002815139193
872a1072dffffff,335.0,29.0,0.07967032967032966
872a1072effffff,1.0,0.0,0.0
872a10740ffffff,4.0,0.0,0.0
872a10741ffffff,2.0,0.0,0.0
872a10743ffffff,1.0,0.0,0.0
872a10744ffffff,8.0,1.0,0.1111111111111111
872a10745ffffff,2.0,0.0,0.0
872a10746ffffff,4.0,0.0,0.0
872a10754ffffff,5.0,0.0,0.0
872a10755ffffff,7.0,0.0,0.0
872a10760ffffff,1.0,0.0,0.0
872a10761ffffff,2.0,0.0,0.0
872a10762ffffff,14.0,0.0,0.0
872a10763ffffff,9.0,1.0,0.1
872a10764ffffff,2.0,0.0,0.0
872a10765ffffff,1.0,1.0,0.5
872a10766ffffff,10.0,0.0,0.0
872a1076affffff,2.0,1.0,0.3333333333333333
872a10770ffffff,12.0,0.0,0.0
872a10771ffffff,13.0,0.0,0.0
872a10772ffffff,7.0,0.0,0.0
872a10773ffffff,12.0,0.0,0.0
872a10774ffffff,152.0,20.0,0.11627906976744186
872a10775ffffff,21.0,4.0,0.16
872a10776ffffff,20.0,0.0,0.0
