h3_id,total_ubertaxi_rides,total_yellowtaxi_rides,market_potential
882a100881fffff,30.0,49.0,0.620253164556962
882a100883fffff,111.0,132.0,0.5432098765432098
882a100887fffff,8.0,1.0,0.1111111111111111
882a100889fffff,30.0,70.0,0.7
882a10088bfffff,24.0,42.0,0.6363636363636364
882a100891fffff,175.0,238.0,0.576271186440678
882a100893fffff,267.0,264.0,0.4971751412429379
882a100895fffff,70.0,60.0,0.46153846153846156
882a100897fffff,130.0,106.0,0.4491525423728814
882a100899fffff,107.0,143.0,0.572
882a10089bfffff,177.0,161.0,0.47633136094674555
882a10089dfffff,11.0,19.0,0.6333333333333333
882a1008b1fffff,76.0,52.0,0.40625
882a1008b3fffff,130.0,179.0,0.5792880258899676
882a1008b7fffff,4.0,0.0,0.0
882a1008b9fffff,104.0,147.0,0.5856573705179283
882a1008bbfffff,144.0,156.0,0.52
882a1008c1fffff,2.0,10.0,0.8333333333333334
882a1008c3fffff,23.0,33.0,0.5892857142857143
882a1008c7fffff,2.0,0.0,0.0
882a1008c9fffff,7.0,6.0,0.46153846153846156
882a1008cbfffff,9.0,3.0,0.25
882a1008d1fffff,5.0,14.0,0.7368421052631579
882a1008d3fffff,5.0,18.0,0.782608695652174
882a1008d5fffff,18.0,13.0,0.41935483870967744
882a1008d7fffff,11.0,14.0,0.56
882a1008d9fffff,8.0,7.0,0.4666666666666667
882a1008dbfffff,5.0,5.0,0.5
882a1008ddfffff,16.0,6.0,0.2727272727272727
882a100a11fffff,2.0,1.0,0.3333333333333333
882a100a13fffff,1.0,0.0,0.0
882a100a17fffff,1.0,0.0,0.0
882a100aa1fffff,3.0,4.0,0.5714285714285714
882a100aa3fffff,9.0,4.0,0.3076923076923077
882a100aa9fffff,12.0,1.0,0.07692307692307693
882a100aabfffff,2.0,0.0,0.0
882a100aadfffff,0.0,1.0,1.0
882a100ab5fffff,9.0,2.0,0.18181818181818182
882a100ab7fffff,13.0,4.0,0.23529411764705882
882a100ae1fffff,6.0,1.0,0.14285714285714285
882a100ae3fffff,2.0,2.0,0.5
882a100ae7fffff,21.0,3.0,0.125
882a100c87fffff,4.0,0.0,0.0
882a100c89fffff,2.0,0.0,0.0
882a100ca5fffff,1.0,0.0,0.0
882a100ca7fffff,1.0,0.0,0.0
882a100cabfffff,1.0,0.0,0.0
882a100cb7fffff,1.0,0.0,0.0
882a100cbdfffff,1.0,0.0,0.0
882a100ce1fffff,1.0,0.0,0.0
882a100d03fffff,19.0,0.0,0.0
882a100d05fffff,47.0,28.0,0.37333333333333335
882a100d0dfffff,1.0,0.0,0.0
882a100d11fffff,13.0,3.0,0.1875
882a100d13fffff,18.0,0.0,0.0
882a100d15fffff,31.0,4.0,0.11428571428571428
882a100d17fffff,34.0,0.0,0.0
882a100d1dfffff,2.0,0.0,0.0
882a100d21fffff,552.0,427.0,0.43615934627170583
882a100d23fffff,237.0,244.0,0.5072765072765073
882a100d25fffff,266.0,217.0,0.4492753623188406
882a100d27fffff,385.0,274.0,0.4157814871016692
882a100d29fffff,325.0,341.0,0.512012012012012
882a100d2bfffff,102.0,122.0,0.5446428571428571
882a100d2dfffff,422.0,507.0,0.5457481162540366
882a100d31fffff,13.0,2.0,0.13333333333333333
882a100d33fffff,23.0,2.0,0.08
882a100d35fffff,210.0,111.0,0.34579439252336447
882a100d37fffff,63.0,26.0,0.29213483146067415
882a100d39fffff,10.0,0.0,0.0
882a100d3bfffff,68.0,6.0,0.08108108108108109
882a100d3dfffff,64.0,31.0,0.3263157894736842
882a100d41fffff,1.0,0.0,0.0
882a100d45fffff,78.0,141.0,0.6438356164383562
882a100d47fffff,2.0,0.0,0.0
882a100d4dfffff,43.0,58.0,0.5742574257425742
882a100d61fffff,906.0,619.0,0.4059016393442623
882a100d63fffff,386.0,376.0,0.49343832020997375
882a100d65fffff,415.0,450.0,0.5202312138728323
882a100d67fffff,745.0,445.0,0.3739495798319328
882a100d69fffff,265.0,299.0,0.5301418439716312
882a100d6bfffff,168.0,205.0,0.5495978552278821
882a100d6dfffff,88.0,63.0,0.41721854304635764
882a100d81fffff,9.0,0.0,0.0
882a100d83fffff,7.0,0.0,0.0
882a100d85fffff,12.0,2.0,0.14285714285714285
882a100d87fffff,20.0,0.0,0.0
882a100d89fffff,17.0,0.0,0.0
882a100d8bfffff,1.0,0.0,0.0
882a100d8dfffff,16.0,0.0,0.0
882a100d91fffff,1.0,0.0,0.0
882a100d93fffff,3.0,0.0,0.0
882a100d95fffff,2.0,0.0,0.0
882a100d97fffff,5.0,0.0,0.0
882a100d99fffff,2.0,0.0,0.0
882a100d9dfffff,6.0,1.0,0.14285714285714285
882a100da1fffff,37.0,5.0,0.11904761904761904
882a100da3fffff,31.0,1.0,0.03125
882a100da5fffff,52.0,11.0,0.1746031746031746
882a100da7fffff,50.0,13.0,0.20634920634920634
882a100da9fffff,27.0,2.0,0.06896551724137931
882a100dabfffff,34.0,3.0,0.08108108108108109
882a100dadfffff,21.0,1.0,0.045454545454545456
882a100db1fffff,10.0,1.0,0.09090909090909091
882a100db3fffff,5.0,0.0,0.0
882a100db5fffff,12.0,1.0,0.07692307692307693
882a100db7fffff,1.0,0.0,0.0
882a100db9fffff,8.0,1.0,0.1111111111111111
882a100dbbfffff,6.0,0.0,0.0
882a100dbdfffff,13.0,2.0,0.13333333333333333
882a100dc1fffff,5.0,3.0,0.375
882a100dc3fffff,12.0,0.0,0.0
882a100dc5fffff,16.0,3.0,0.15789473684210525
882a100dc7fffff,18.0,1.0,0.05263157894736842
882a100dcbfffff,6.0,0.0,0.0
882a100dd1fffff,6.0,0.0,0.0
882a100dd3fffff,4.0,0.0,0.0
882a100dd5fffff,2.0,1.0,0.3333333333333333
882a100dd7fffff,4.0,0.0,0.0
882a100dd9fffff,1.0,0.0,0.0
882a100dddfffff,5.0,0.0,0.0
882a100de1fffff,8.0,2.0,0.2
882a100de3fffff,13.0,3.0,0.1875
882a100de5fffff,33.0,3.0,0.08333333333333333
882a100de7fffff,8.0,1.0,0.1111111111111111
882a100de9fffff,34.0,12.0,0.2608695652173913
882a100debfffff,12.0,2.0,0.14285714285714285
882a100dedfffff,75.0,21.0,0.21875
882a100f25fffff,0.0,7.0,1.0
882a100f29fffff,1.0,0.0,0.0
882a107213fffff,24.0,1.0,0.04
882a107219fffff,149.0,76.0,0.3377777777777778
882a10721bfffff,407.0,175.0,0.3006872852233677
882a107251fffff,51.0,35.0,0.4069767441860465
882a107253fffff,176.0,90.0,0.3383458646616541
882a107257fffff,5.0,0.0,0.0
882a107259fffff,76.0,64.0,0.45714285714285713
882a10725bfffff,250.0,333.0,0.5711835334476844
882a107281fffff,112.0,51.0,0.3128834355828221
882a107289fffff,282.0,118.0,0.295
882a10728bfffff,47.0,39.0,0.45348837209302323
882a10728dfffff,71.0,73.0,0.5069444444444444
882a107291fffff,19.0,4.0,0.17391304347826086
